analogWrite,sensorVal
152,770
152,767
152,768
152,768
153,765
153,770
153,764
153,768
153,766
154,766
154,769
154,764
154,767
154,765
155,766
155,766
155,765
155,767
155,763
156,766
156,764
156,764
156,764
156,763
157,767
157,762
157,766
157,763
157,765
158,763
158,761
158,764
158,762
158,765
159,762
159,761
159,763
159,760
159,765
160,760
160,764
160,760
160,761
160,761
161,760
161,762
161,760
161,761
161,759
162,761
162,761
162,758
162,761
162,757
163,761
163,759
163,757
163,760
163,758
164,761
164,756
164,759
164,759
164,758
165,760
165,754
165,759
165,757
166,757
166,757
166,754
166,758
166,753
167,756
167,755
167,755
167,756
167,754
168,757
168,753
168,756
168,755
168,754
169,756
169,754
169,755
169,751
169,754
170,753
170,754
170,754
170,749
170,754
171,752
171,753
171,751
171,751
171,753
172,749
172,753
172,750
172,751
172,752
173,750
173,752
173,748
173,751
173,750
174,748
174,749
174,750
174,751
174,746
175,750
175,746
175,749
175,750
176,746
176,750
176,745
176,748
176,747
177,746
177,748
177,747
177,748
177,744
178,746
178,747
178,745
178,748
178,743
179,745
179,743
179,744
179,746
179,745
180,747
180,741
180,746
180,744
180,742
181,744
181,742
181,744
181,742
181,742
182,743
182,743
182,743
182,741
182,742
183,739
183,743
183,741
183,740
183,742
184,740
184,742
184,738
184,741
184,741
185,740
185,742
185,739
185,739
185,737
186,738
186,741
186,737
186,741
186,737
187,737
187,737
187,736
187,739
187,735
188,740
188,737
188,738
188,736
188,735
189,738
189,735
189,737
189,735
189,735
190,737
190,735
190,736
190,733
190,735
191,734
191,734
191,735
191,732
191,735
192,731
192,735
192,731
192,734
192,734
193,731
193,734
193,730
193,734
193,733
194,731
194,733
194,730
194,732
195,730
195,732
195,730
195,731
195,732
196,731
196,730
196,729
196,730
196,729
197,730
197,731
197,726
197,730
197,726
198,728
198,730
198,727
198,730
198,727
199,727
199,726
199,726
199,727
199,726
200,726
200,736
200,726
200,726
200,725
201,727
201,724
201,727
201,724
201,723
202,724
202,723
202,725
202,722
202,724
203,722
203,725
203,723
203,723
203,725
204,723
204,724
204,721
204,722
205,725
205,722
205,722
205,721
205,721
206,721
206,720
206,721
206,718
206,721
207,719
207,719
207,720
207,720
207,719
208,718
208,720
208,717
208,719
208,719
209,718
209,719
209,716
209,719
209,718
210,719
210,718
210,717
210,718
210,716
211,718
211,715
211,715
211,718
211,717
212,716
212,712
212,716
212,715
212,715
213,716
213,714
213,714
213,713
213,713
214,714
214,713
214,715
214,712
214,715
215,712
215,712
215,713
215,713
215,714
216,712
216,713
216,712
216,712
216,713
217,711
217,712
217,712
217,712
217,710
218,710
218,711
218,710
218,711
218,708
219,710
219,709
219,710
219,709
219,708
220,709
220,709
220,709
220,710
220,707
221,710
221,707
221,707
221,707
221,706
222,708
222,705
222,708
222,705
222,707
223,705
223,705
223,705
223,706
224,706
224,704
224,705
224,703
224,704
225,705
225,703
225,705
225,703
225,705
226,703
226,703
226,704
226,704
226,702
227,701
227,702
227,701
227,700
227,702
228,700
228,701
228,700
228,702
228,701
229,701
229,701
229,700
229,699
229,699
230,700
230,701
230,698
230,700
230,697
231,698
231,698
231,699
231,698
231,698
232,697
232,697
232,696
232,698
232,696
233,699
233,695
233,696
233,707
234,696
234,696
234,696
234,697
234,695
235,696
235,694
235,695
235,695
235,693
236,694
236,694
236,695
236,692
236,694
237,694
237,693
237,694
237,692
237,694
238,693
238,692
238,691
238,693
238,691
239,690
239,690
239,692
239,690
239,691
240,690
240,690
240,690
240,690
240,690
241,689
241,690
241,687
241,689
241,688
242,688
242,689
242,688
242,689
242,688
243,688
243,688
243,687
243,687
243,688
244,688
244,687
244,686
244,686
244,688
245,686
245,687
245,685
245,686
245,686
246,685
246,684
246,684
246,683
246,685
247,685
247,684
247,685
247,683
247,683
248,682
248,682
248,683
248,682
248,681
249,683
249,684
249,683
249,682
249,682
250,681
250,683
250,682
250,682
250,679
251,681
251,681
251,680
251,681
251,680
252,680
252,678
252,679
252,678
253,678
253,680
253,679
253,677
253,678
254,679
254,677
254,679
254,678
254,676
255,677
255,676
255,677
255,676
255,676
254,675
254,676
254,676
254,677
254,677
253,678
253,677
253,678
253,678
253,677
252,677
252,677
252,678
252,679
252,678
251,677
251,678
251,677
251,679
251,679
250,679
250,680
250,681
250,679
250,679
249,679
249,681
249,679
249,681
249,682
248,681
248,682
248,683
248,681
247,680
247,682
247,680
247,682
247,683
246,681
246,683
246,683
246,683
246,684
245,682
245,685
245,684
245,684
245,684
244,684
244,685
244,684
244,685
244,684
243,686
243,686
243,686
243,686
243,686
242,686
242,686
242,686
242,688
242,686
241,687
241,685
241,688
241,687
241,689
240,689
240,687
240,690
240,687
240,689
239,687
239,688
239,689
239,688
239,689
238,690
238,690
238,690
238,689
238,690
237,689
237,689
237,690
237,690
237,691
236,690
236,694
236,690
236,692
236,692
235,692
235,693
235,692
235,693
235,693
234,694
234,693
234,692
234,693
234,693
233,695
233,694
233,695
233,694
233,696
232,696
232,693
232,696
232,695
232,696
231,696
231,695
231,696
231,695
231,697
230,694
230,697
230,697
230,697
230,699
229,696
229,696
229,696
229,699
228,698
228,699
228,699
228,699
228,698
227,698
227,699
227,700
227,698
227,701
226,698
226,700
226,700
226,699
226,700
225,701
225,702
225,702
225,702
225,702
