timestamp(ms),solenoid_value,raw_hall_analog,filtered_hall_analog,
"235.518",,"75","66",
"235.526","144","86","66",
"235.533","144","74","66",
"235.541","144","68","66",
"235.548","144","87","66",
"235.556","144","80","66",
"235.564","144","66","66",
"235.571","144","78","67",
"235.579","145","85","67",
"235.586","145","73","67",
"235.594","145","70","67",
"235.601","145","89","67",
"235.609","145","78","67",
"235.617","145","66","67",
"235.624","145","81","67",
"235.631","145","83","67",
"235.639","145","70","67",
"235.646","145","72","67",
"235.655","146","88","67",
"235.662","146","76","67",
"235.669","146","67","67",
"235.677","146","84","67",
"235.684","146","82","67",
"235.693","146","68","67",
"235.7","146","75","67",
"235.707","146","87","67",
"235.715","146","75","67",
"235.722","146","68","67",
"235.729","147","88","67",
"235.738","147","80","67",
"235.745","147","67","67",
"235.753","147","78","68",
"235.76","147","85","68",
"235.767","147","73","68",
"235.776","147","70","68",
"235.783","147","90","68",
"235.791","147","78","68",
"235.798","147","66","68",
"235.805","148","82","67",
"235.813","148","83","67",
"235.821","148","71","67",
"235.829","148","73","67",
"235.836","148","88","67",
"235.843","148","77","67",
"235.851","148","67","67",
"235.858","148","85","67",
"235.866","148","82","67",
"235.874","148","69","66",
"235.881","149","77","66",
"235.889","149","87","66",
"235.896","149","75","66",
"235.904","149","69","66",
"235.912","149","89","67",
"235.919","149","81","67",
"235.927","149","67","67",
"235.934","149","80","67",
"235.941","149","86","67",
"235.95","149","73","67",
"235.957","150","71","67",
"235.965","150","90","67",
"235.972","150","79","67",
"235.979","150","67","67",
"235.987","150","83","67",
"235.995","150","84","67",
"236.002","150","71","67",
"236.01","150","74","67",
"236.017","150","88","67",
"236.025","150","78","67",
"236.033","151","67","67",
"236.04","151","86","67",
"236.048","151","83","67",
"236.055","151","69","67",
"236.063","151","77","67",
"236.07","151","87","67",
"236.078","151","75","67",
"236.086","151","69","67",
"236.093","151","89","67",
"236.101","151","81","67",
"236.108","152","68","66",
"236.115","152","81","66",
"236.124","152","87","66",
"236.131","152","74","66",
"236.138","152","72","66",
"236.146","152","90","66",
"236.153","152","79","66",
"236.162","152","66","66",
"236.169","152","83","66",
"236.176","152","84","66",
"236.184","153","72","66",
"236.191","153","75","66",
"236.199","153","89","66",
"236.207","153","78","66",
"236.214","153","67","66",
"236.222","153","87","66",
"236.229","153","83","66",
"236.236","153","70","66",
"236.244","153","78","67",
"236.252","153","87","67",
"236.26","154","76","67",
"236.267","154","70","67",
"236.274","154","91","67",
"236.282","154","81","67",
"236.29","154","68","67",
"236.298","154","81","67",
"236.305","154","86","67",
"236.312","154","74","67",
"236.32","154","72","67",
"236.327","154","91","67",
"236.336","155","79","67",
"236.343","155","67","67",
"236.35","155","85","67",
"236.358","155","85","67",
"236.365","155","72","67",
"236.372","155","75","67",
"236.381","155","90","67",
"236.388","155","78","67",
"236.396","155","68","67",
"236.403","155","88","67",
"236.41","156","83","66",
"236.419","156","71","66",
"236.426","156","78","66",
"236.434","156","88","66",
"236.441","156","76","66",
"236.448","156","70","66",
"236.456","156","92","66",
"236.464","156","82","66",
"236.471","156","69","66",
"236.479","156","81","66",
"236.486","157","86","66",
"236.494","157","75","66",
"236.502","157","73","66",
"236.509","157","91","66",
"236.517","157","80","66",
"236.524","157","67","66",
"236.532","157","85","66",
"236.539","157","85","66",
"236.547","157","73","65",
"236.555","157","76","65",
"236.562","158","90","65",
"236.57","158","79","65",
"236.577","158","69","65",
"236.584","158","89","65",
"236.593","158","83","65",
"236.6","158","71","65",
"236.607","158","79","66",
"236.615","158","88","66",
"236.622","158","77","66",
"236.631","158","70","66",
"236.638","159","93","66",
"236.645","159","82","66",
"236.653","159","69","65",
"236.66","159","83","65",
"236.668","159","87","65",
"236.676","159","75","65",
"236.683","159","74","65",
"236.691","159","91","65",
"236.698","159","81","65",
"236.706","159","68","65",
"236.713","160","86","65",
"236.721","160","85","65",
"236.729","160","73","65",
"236.736","160","77","65",
"236.743","160","90","65",
"236.751","160","79","65",
"236.759","160","69","65",
"236.767","160","90","65",
"236.774","160","84","65",
"236.781","160","72","65",
"236.789","161","81","66",
"236.796","161","89","66",
"236.805","161","78","66",
"236.812","161","71","66",
"236.819","161","93","67",
"236.827","161","83","67",
"236.834","161","70","66",
"236.841","161","83","66",
"236.85","161","88","66",
"236.857","161","76","66",
"236.865","162","75","66",
"236.872","162","92","66",
"236.879","162","82","66",
"236.888","162","68","66",
"236.895","162","87","66",
"236.903","162","86","66",
"236.91","162","74","66",
"236.917","162","78","66",
"236.925","162","90","66",
"236.933","162","80","66",
"236.941","163","69","65",
"236.948","163","91","65",
"236.955","163","85","65",
"236.963","163","73","65",
"236.971","163","81","65",
"236.978","163","89","65",
"236.986","163","79","65",
"236.993","163","72","65",
"237.001","163","94","66",
"237.008","163","83","66",
"237.016","164","71","66",
"237.024","164","85","66",
"237.031","164","89","66",
"237.039","164","77","66",
"237.046","164","76","66",
"237.053","164","92","66",
"237.062","164","82","66",
"237.069","164","69","66",
"237.077","164","88","66",
"237.084","164","87","66",
"237.091","165","75","65",
"237.1","165","79","65",
"237.107","165","91","65",
"237.114","165","81","65",
"237.122","165","71","65",
"237.129","165","92","65",
"237.137","165","86","65",
"237.145","165","73","65",
"237.152","165","82","66",
"237.16","165","90","66",
"237.167","166","80","65",
"237.175","166","74","65",
"237.182","166","94","66",
"237.19","166","84","66",
"237.198","166","72","66",
"237.205","166","85","66",
"237.213","166","89","66",
"237.22","166","77","66",
"237.228","166","76","66",
"237.236","166","93","66",
"237.243","167","83","66",
"237.25","167","70","66",
"237.258","167","90","66",
"237.265","167","88","66",
"237.274","167","76","65",
"237.281","167","80","65",
"237.288","167","92","65",
"237.296","167","81","65",
"237.303","167","71","65",
"237.312","167","93","65",
"237.319","168","86","65",
"237.326","168","75","65",
"237.334","168","83","66",
"237.341","168","91","66",
"237.348","168","80","66",
"237.357","168","75","66",
"237.364","168","94","67",
"237.372","168","85","67",
"237.379","168","73","67",
"237.386","168","87","67",
"237.394","169","90","66",
"237.402","169","79","66",
"237.41","169","78","66",
"237.417","169","94","66",
"237.424","169","84","66",
"237.432","169","71","66",
"237.44","169","91","66",
"237.448","169","89","66",
"237.455","169","77","65",
"237.462","169","81","65",
"237.47","170","94","65",
"237.477","170","83","65",
"237.485","170","73","65",
"237.493","170","95","65",
"237.5","170","88","65",
"237.508","170","76","65",
"237.515","170","85","66",
"237.522","170","92","66",
"237.531","170","82","66",
"237.538","170","75","66",
"237.546","171","96","67",
"237.553","171","87","67",
"237.56","171","75","67",
"237.569","171","89","67",
"237.576","171","91","67",
"237.584","171","81","67",
"237.591","171","79","67",
"237.598","171","95","67",
"237.606","171","85","67",
"237.614","171","73","67",
"237.621","172","92","66",
"237.629","172","90","66",
"237.636","172","79","66",
"237.644","172","83","66",
"237.651","172","94","66",
"237.659","172","85","66",
"237.667","172","74","66",
"237.674","172","96","66",
"237.682","172","89","66",
"237.689","172","77","66",
"237.697","173","86","66",
"237.705","173","93","66",
"237.712","173","83","66",
"237.719","173","77","66",
"237.727","173","97","67",
"237.734","173","88","67",
"237.743","173","77","67",
"237.75","173","90","67",
"237.757","173","93","67",
"237.765","173","81","67",
"237.772","174","81","67",
"237.78","174","96","67",
"237.788","174","87","67",
"237.795","174","75","67",
"237.803","174","94","67",
"237.81","174","91","67",
"237.818","174","81","67",
"237.826","174","84","68",
"237.833","174","96","68",
"237.841","174","86","68",
"237.848","175","75","67",
"237.855","175","98","67",
"237.863","175","90","67",
"237.871","175","80","67",
"237.879","175","88","67",
"237.886","175","94","67",
"237.893","175","84","67",
"237.901","175","78","67",
"237.908","175","98","67",
"237.917","175","89","67",
"237.924","176","79","67",
"237.931","176","92","67",
"237.939","176","93","67",
"237.946","176","84","67",
"237.954","176","82","67",
"237.962","176","97","68",
"237.969","176","88","68",
"237.977","176","77","68",
"237.984","176","95","68",
"237.991","176","93","68",
"238","177","82","67",
"238.007","177","86","67",
"238.015","177","97","67",
"238.022","177","87","67",
"238.029","177","76","67",
"238.038","177","100","67",
"238.045","177","93","67",
"238.053","177","83","67",
"238.06","177","85","67",
"238.067","177","97","67",
"238.075","178","88","67",
"238.083","178","77","67",
"238.091","178","100","67",
"238.098","178","94","67",
"238.105","178","83","67",
"238.113","178","86","67",
"238.12","178","97","67",
"238.129","178","88","67",
"238.136","178","77","68",
"238.143","178","100","69",
"238.151","179","94","69",
"238.158","179","84","69",
"238.167","179","87","69",
"238.174","179","98","69",
"238.181","179","89","69",
"238.189","179","78","69",
"238.196","179","101","69",
"238.204","179","94","69",
"238.212","179","84","69",
"238.219","179","87","69",
"238.227","180","98","68",
"238.234","180","89","68",
"238.242","180","78","68",
"238.249","180","101","69",
"238.257","180","95","69",
"238.265","180","85","69",
"238.272","180","88","69",
"238.28","180","99","69",
"238.287","180","89","69",
"238.295","180","78","69",
"238.303","181","102","70",
"238.31","181","95","70",
"238.318","181","85","70",
"238.325","181","88","70",
"238.332","181","99","70",
"238.341","181","90","70",
"238.348","181","79","70",
"238.356","181","102","70",
"238.363","181","95","70",
"238.37","181","86","70",
"238.379","182","88","70",
"238.386","182","100","70",
"238.394","182","92","70",
"238.401","182","81","69",
"238.408","182","99","69",
"238.416","182","95","69",
"238.424","182","86","69",
"238.432","182","89","69",
"238.439","182","99","69",
"238.446","182","90","69",
"238.454","183","80","68",
"238.461","183","103","68",
"238.47","183","96","68",
"238.477","183","87","68",
"238.484","183","90","68",
"238.492","183","100","68",
"238.499","183","92","68",
"238.508","183","82","68",
"238.515","183","100","68",
"238.523","183","98","68",
"238.53","184","89","68",
"238.537","184","86","69",
"238.545","184","102","69",
"238.553","184","94","69",
"238.561","184","84","69",
"238.568","184","97","70",
"238.575","184","98","70",
"238.583","184","89","70",
"238.59","184","87","70",
"238.598","184","102","70",
"238.606","185","95","69",
"238.613","185","85","69",
"238.621","185","97","69",
"238.628","185","98","69",
"238.636","185","89","69",
"238.644","185","87","69",
"238.651","185","102","69",
"238.659","185","95","69",
"238.666","185","85","69",
"238.673","185","98","69",
"238.682","186","99","69",
"238.689","186","90","69",
"238.697","186","87","69",
"238.704","186","102","69",
"238.712","186","96","69",
"238.72","186","86","69",
"238.727","186","99","69",
"238.735","186","100","69",
"238.742","186","91","69",
"238.75","186","85","69",
"238.757","187","104","69",
"238.765","187","98","69",
"238.773","187","88","69",
"238.78","187","95","70",
"238.788","187","102","70",
"238.795","187","94","70",
"238.802","187","84","70",
"238.811","187","105","70",
"238.818","187","98","70",
"238.826","187","89","70",
"238.833","188","92","70",
"238.84","188","102","70",
"238.849","188","95","70",
"238.856","188","85","70",
"238.864","188","103","70",
"238.871","188","100","70",
"238.879","188","92","70",
"238.886","188","86","71",
"238.894","188","104","71",
"238.902","188","98","71",
"238.909","189","90","71",
"238.917","189","96","71",
"238.924","189","102","71",
"238.932","189","94","71",
"238.94","189","85","71",
"238.947","189","106","71",
"238.955","189","100","71",
"238.962","189","92","71",
"238.97","189","90","71",
"238.978","189","104","71",
"238.985","190","97","70",
"238.993","190","89","70",
"239","190","101","70",
"239.008","190","102","70",
"239.015","190","96","70",
"239.024","190","86","70",
"239.031","190","106","70",
"239.038","190","100","70",
"239.046","190","93","70",
"239.053","190","90","70",
"239.062","191","105","70",
"239.069","191","99","70",
"239.077","191","89","70",
"239.084","191","101","70",
"239.091","191","103","70",
"239.099","191","96","70",
"239.107","191","86","70",
"239.115","191","107","70",
"239.122","191","100","70",
"239.13","191","93","70",
"239.137","192","91","70",
"239.144","192","105","70",
"239.153","192","99","70",
"239.16","192","90","70",
"239.168","192","102","70",
"239.175","192","103","70",
"239.183","192","97","70",
"239.191","192","87","70",
"239.198","192","107","70",
"239.206","192","102","70",
"239.213","193","94","70",
"239.221","193","92","70",
"239.228","193","105","70",
"239.237","193","99","70",
"239.244","193","91","70",
"239.251","193","103","70",
"239.259","193","104","70",
"239.266","193","98","70",
"239.275","193","88","71",
"239.282","193","108","71",
"239.289","194","102","71",
"239.297","194","96","71",
"239.304","194","93","71",
"239.312","194","106","71",
"239.32","194","100","71",
"239.328","194","93","71",
"239.335","194","99","71",
"239.342","194","104","71",
"239.35","194","98","71",
"239.357","194","88","72",
"239.366","195","108","71",
"239.373","195","103","71",
"239.381","195","96","71",
"239.388","195","93","71",
"239.395","195","106","71",
"239.404","195","101","71",
"239.411","195","94","71",
"239.419","195","100","71",
"239.426","195","106","71",
"239.434","195","99","71",
"239.441","196","91","71",
"239.449","196","108","71",
"239.457","196","105","71",
"239.464","196","98","71",
"239.472","196","90","72",
"239.479","196","108","72",
"239.488","196","102","72",
"239.495","196","96","72",
"239.502","196","97","72",
"239.51","196","106","72",
"239.517","197","101","71",
"239.525","197","94","71",
"239.533","197","105","71",
"239.541","197","106","71",
"239.548","197","99","71",
"239.556","197","91","71",
"239.563","197","110","71",
"239.57","197","104","71",
"239.579","197","97","71",
"239.586","197","94","71",
"239.594","198","108","71",
"239.601","198","102","71",
"239.609","198","96","71",
"239.617","198","101","71",
"239.624","198","107","71",
"239.632","198","102","71",
"239.639","198","94","71",
