timestamp(ms),solenoid_commanded,analog value (1-1024) (raw),
"90.182","21",,
"90.185",,"511",
"90.188","21",,
"90.191",,"510",
"90.193","21",,
"90.198",,"510",
"90.2","21",,
"90.203",,"510",
"90.206","21",,
"90.209",,"510",
"90.212","21",,
"90.215",,"510",
"90.218","21",,
"90.221",,"511",
"90.223","20",,
"90.227",,"510",
"90.229","20",,
"90.232",,"510",
"90.235","20",,
"90.238",,"510",
"90.242","20",,
"90.245",,"510",
"90.248","20",,
"90.251",,"512",
"90.253","20",,
"90.257",,"510",
"90.259","20",,
"90.263",,"510",
"90.265","20",,
"90.268",,"510",
"90.271","20",,
"90.274",,"510",
"90.277","20",,
"90.28",,"511",
"90.284","19",,
"90.287",,"510",
"90.289","19",,
"90.293",,"510",
"90.295","19",,
"90.298",,"510",
"90.301","19",,
"90.304",,"510",
"90.307","19",,
"90.31",,"510",
"90.313","19",,
"90.316",,"510",
"90.318","19",,
"90.322",,"510",
"90.324","19",,
"90.328",,"510",
"90.331","19",,
"90.334",,"510",
"90.337","19",,
"90.34",,"510",
"90.343","18",,
"90.346",,"512",
"90.348","18",,
"90.352",,"510",
"90.354","18",,
"90.357",,"510",
"90.36","18",,
"90.363",,"510",
"90.366","18",,
"90.37",,"510",
"90.373","18",,
"90.376",,"511",
"90.378","18",,
"90.382",,"510",
"90.384","18",,
"90.388",,"510",
"90.39","18",,
"90.393",,"510",
"90.396","18",,
"90.399",,"510",
"90.402","17",,
"90.405",,"510",
"90.408","17",,
"90.412",,"510",
"90.414","17",,
"90.418",,"510",
"90.42","17",,
"90.423",,"510",
"90.426","17",,
"90.429",,"510",
"90.432","17",,
"90.435",,"510",
"90.438","17",,
"90.441",,"511",
"90.443","17",,
"90.447",,"510",
"90.449","17",,
"90.452",,"510",
"90.456","17",,
"90.459",,"510",
"90.462","16",,
"90.465",,"510",
"90.468","16",,
"90.471",,"511",
"90.473","16",,
"90.477",,"510",
"90.479","16",,
"90.483",,"510",
"90.485","16",,
"90.488",,"510",
"90.491","16",,
"90.494",,"510",
"90.498","16",,
"90.501",,"510",
"90.504","16",,
"90.507",,"510",
"90.509","16",,
"90.513",,"510",
"90.515","16",,
"90.518",,"510",
"90.521","15",,
