timestamp(ms),hall_analog,hall_mT,hall_mT_filtered,
"8.595",,"19.6","548.8",
"8.602","550","24.83","549.12",
"8.609","555","28.1","549.32",
"8.615","542","19.6","548.8",
"8.623","550","24.83","549.12",
"8.63","555","28.1","549.32",
"8.636","542","19.6","548.8",
"8.643","551","25.48","549.16",
"8.65","555","28.1","549.36",
"8.656","543","20.26","548.88",
"8.664","550","24.83","549.2",
"8.67","555","28.1","549.4",
"8.677","542","19.6","548.88",
"8.684","550","24.83","549.2",
"8.69","555","28.1","549.4",
"8.697","541","18.95","548.84",
"8.705","551","25.48","549.2",
"8.711","555","28.1","549.36",
"8.718","542","19.6","548.84",
"8.725","550","24.83","549.16",
"8.731","555","28.1","549.32",
"8.738","542","19.6","548.8",
"8.744","550","24.83","549.12",
"8.752","555","28.1","549.32",
"8.759","541","18.95","548.76",
"8.765","550","24.83","549.08",
"8.772","555","28.1","549.28",
"8.779","541","18.95","548.72",
"8.785","550","24.83","549.04",
"8.793","555","28.1","549.24",
"8.8","542","19.6","548.72",
"8.806","551","25.48","549.08",
"8.813","555","28.1","549.24",
"8.82","542","19.6","548.72",
"8.826","551","25.48","549.04",
"8.834","555","28.1","549.24",
"8.84","543","20.26","548.76",
"8.847","550","24.83","549.08",
"8.854","556","28.75","549.32",
"8.86","542","19.6","548.8",
"8.867","550","24.83","549.16",
"8.875","555","28.1","549.32",
"8.881","542","19.6","548.8",
"8.888","551","25.48","549.16",
"8.895","555","28.1","549.36",
"8.901","542","19.6","548.84",
"8.908","551","25.48","549.2",
"8.914","555","28.1","549.4",
"8.922","542","19.6","548.88",
"8.929","550","24.83","549.24",
"8.935","555","28.1","549.44",
"8.942","542","19.6","548.92",
"8.949","550","24.83","549.28",
"8.955","555","28.1","549.48",
"8.963","541","18.95","548.92",
"8.97","550","24.83","549.24",
"8.976","555","28.1","549.4",
"8.983","542","19.6","548.88",
"8.99","551","25.48","549.24",
"8.996","554","27.44","549.36",
"9.004","542","19.6","548.84",
"9.01","550","24.83","549.12",
"9.017","555","28.1","549.32",
"9.024","542","19.6","548.76",
"9.03","550","24.83","549.08",
"9.037","555","28.1","549.28",
"9.044","542","19.6","548.76",
"9.051","550","24.83","549.08",
"9.058","555","28.1","549.24",
"9.065","542","19.6","548.72",
"9.071","551","25.48","549.08",
"9.078","555","28.1","549.24",
"9.085","542","19.6","548.72",
"9.092","551","25.48","549.08",
"9.099","555","28.1","549.28",
"9.105","542","19.6","548.76",
"9.112","551","25.48","549.12",
"9.119","555","28.1","549.32",
"9.125","542","19.6","548.8",
"9.133","550","24.83","549.16",
"9.14","555","28.1","549.36",
"9.146","542","19.6","548.84",
"9.153","550","24.83","549.16",
"9.16","555","28.1","549.32",
"9.166","542","19.6","548.84",
"9.174","550","24.83","549.16",
"9.18","555","28.1","549.36",
"9.187","542","19.6","548.84",
"9.194","550","24.83","549.16",
"9.2","555","28.1","549.36",
"9.207","542","19.6","548.84",
"9.214","550","24.83","549.16",
"9.221","555","28.1","549.36",
"9.228","542","19.6","548.84",
"9.235","550","24.83","549.16",
"9.241","555","28.1","549.32",
"9.248","542","19.6","548.8",
"9.255","550","24.83","549.12",
"9.262","555","28.1","549.28",
