timestamp(ms),solenoid_value,raw_hall_analog,filtered_hall_analog,Distance,
"175.729",,"13","509","5",
"175.738","153","17","509","5",
"175.748","153","7","509","5",
"175.758","152","14","509","5",
"175.767","152","14","509","5",
"175.776","152","8","509","5",
"175.787","152","15","509","0.29",
"175.796","152","12","509","5",
"175.805","152","10","509","5",
"175.815","152","18","509","5",
"175.824","152","7","509","5",
"175.834","152","11","509","0.29",
"175.844","152","19","509","0.29",
"175.853","151","6","510","5",
"175.863","151","12","510","5",
"175.873","151","16","510","5",
"175.882","151","6","510","5",
"175.892","151","13","510","5",
"175.901","151","14","510","5",
"175.91","151","8","510","5",
"175.921","151","14","510","2.93",
"175.93","151","12","510","2.93",
"175.939","151","9","510","5",
"175.949","150","15","510","5",
"175.959","150","10","510","2.93",
"175.968","150","10","510","5",
"175.978","150","18","510","2.93",
"175.987","150","6","510","5",
"175.997","150","12","509","0.29",
"176.007","150","17","509","5",
"176.016","150","6","509","5",
"176.026","150","13","509","5",
"176.035","150","14","509","5",
"176.045","149","7","509","5",
"176.055","149","14","509","5",
"176.064","149","12","509","5",
"176.073","149","9","509","0.29",
"176.083","149","15","509","0.29",
"176.093","149","10","509","5",
"176.102","149","10","509","5",
"176.112","149","18","509","0.29",
"176.121","149","6","509","5",
"176.132","149","11","509","0.29",
"176.141","148","16","509","5",
"176.15","148","5","509","0.29",
"176.16","148","12","509","5",
"176.169","148","14","509","5",
"176.179","148","6","509","5",
"176.189","148","13","509","5",
"176.198","148","12","509","5",
"176.207","148","8","509","5",
"176.218","148","15","509","0.29",
"176.227","148","10","509","0.29",
"176.236","147","9","510","5",
"176.246","147","16","510","5",
"176.256","147","8","510","5",
"176.265","147","9","510","5",
"176.275","147","15","510","2.93",
"176.284","147","9","510","5",
"176.293","147","7","510","2.93",
"176.304","147","15","510","2.93",
"176.313","147","10","510","5",
"176.322","147","9","510","5",
"176.332","146","16","510","5",
"176.342","146","7","510","5",
"176.351","146","8","510","5",
"176.361","146","15","510","2.93",
"176.37","146","8","510","5",
"176.379","146","8","510","2.93",
"176.39","146","15","510","2.93",
"176.399","146","9","510","5",
"176.408","146","7","510","2.93",
"176.418","146","14","510","5",
"176.428","145","10","510","5",
"176.437","145","8","510","5",
"176.447","145","15","510","2.93",
"176.456","145","8","510","5",
"176.465","145","7","510","5",
"176.476","145","14","510","5",
"176.485","145","9","510","5",
"176.494","145","7","510","2.93",
"176.504","145","14","510","5",
"176.514","145","9","510","5",
"176.523","144","6","510","5",
"176.533","144","13","510","5",
"176.542","144","10","510","5",
"176.551","144","8","510","5",
"176.562","144","14","510","5",
"176.571","144","8","510","5",
"176.58","144","7","510","2.93",
"176.59","144","14","510","5",
"176.6","144","9","510","5",
"176.609","144","6","510","5",
"176.619","143","13","511","5",
"176.628","143","10","511","5",
"176.637","143","8","511","5",
"176.648","143","15","511","5",
"176.657","143","8","511","5",
"176.666","143","7","511","5",
"176.676","143","14","511","5",
"176.686","143","8","511","5",
"176.695","143","6","511","5",
"176.705","143","13","511","5",
"176.714","142","9","511","5",
"176.723","142","5","511","5",
"176.734","142","13","511","5",
"176.743","142","10","511","5",
"176.752","142","7","511","5",
"176.762","142","14","511","5",
"176.772","142","8","511","5",
"176.781","142","6","511","5",
"176.791","142","13","511","5",
"176.8","142","9","511","5",
"176.809","141","6","511","5",
"176.82","141","13","511","5",
"176.829","141","10","511","5",
"176.838","141","7","511","5",
"176.848","141","14","511","5",
"176.858","141","8","511","5",
"176.867","141","6","511","5",
"176.877","141","13","511","5",
"176.886","141","9","511","5",
"176.896","141","5","511","5",
"176.906","140","12","511","5",
"176.915","140","10","511","5",
"176.924","140","7","511","5",
"176.934","140","14","511","5",
"176.944","140","8","511","5",
"176.953","140","6","511","5",
"176.963","140","13","511","5",
"176.972","140","8","511","5",
"176.982","140","5","511","5",
"176.992","140","13","511","5",
"177.001","139","9","511","5",
"177.01","139","5","511","5",
"177.02","139","12","511","5",
"177.03","139","10","511","5",
"177.039","139","7","511","5",
"177.049","139","14","511","5",
"177.058","139","8","511","5",
"177.068","139","5","511","5",
"177.078","139","13","511","5",
"177.087","139","9","511","5",
"177.096","138","5","511","5",
"177.106","138","12","511","5",
"177.116","138","9","511","5",
"177.125","138","4","511","5",
"177.135","138","11","511","5",
"177.144","138","10","511","5",
"177.154","138","6","511","5",
"177.164","138","13","511","5",
"177.173","138","9","511","5",
"177.182","138","5","511","5",
"177.192","137","12","511","5",
"177.202","137","9","511","5",
"177.211","137","4","511","5",
"177.221","137","11","511","5",
"177.23","137","10","511","5",
"177.24","137","5","511","5",
"177.25","137","13","511","5",
"177.259","137","8","511","5",
"177.268","137","5","511","5",
"177.278","137","12","511","5",
"177.288","136","9","511","5",
"177.297","136","4","511","5",
"177.307","136","12","511","5",
"177.316","136","10","511","5",
"177.326","136","6","511","5",
"177.336","136","13","511","5",
"177.345","136","8","511","5",
"177.354","136","5","511","5",
"177.364","136","12","511","5",
"177.374","136","9","511","5",
"177.383","135","4","511","5",
"177.393","135","12","511","5",
"177.402","135","9","511","5",
"177.412","135","4","511","5",
"177.422","135","11","511","5",
"177.431","135","10","511","5",
"177.44","135","5","511","5",
"177.451","135","12","511","5",
"177.46","135","8","511","5",
"177.469","135","4","511","5",
"177.478","134","12","512","4.5",
"177.488","134","9","512","4.5",
"177.498","134","4","512","4.5",
"177.507","134","11","512","4.5",
"177.517","134","9","512","4.5",
"177.526","134","3","512","4.5",
"177.536","134","10","512","4.5",
"177.546","134","11","512","4.5",
"177.555","134","4","512","4.5",
"177.564","134","12","512","4.5",
"177.574","133","8","512","4.5",
"177.584","133","4","512","4.5",
"177.593","133","11","512","4.5",
"177.603","133","9","512","4.5",
"177.612","133","3","512","4.5",
"177.622","133","10","512","4.5",
"177.632","133","10","512","4.5",
"177.641","133","5","512","4.5",
"177.65","133","11","512","4.5",
"177.66","133","8","512","4.5",
"177.67","132","4","512","4.5",
"177.679","132","11","512","4.5",
"177.689","132","9","512","4.5",
"177.698","132","3","512","4.5",
"177.708","132","10","512","4.5",
"177.718","132","10","512","4.5",
"177.727","132","4","512","4.5",
"177.736","132","12","512","4.5",
"177.746","132","8","512","4.5",
"177.756","132","4","512","4.5",
"177.765","131","11","512","4.5",
"177.775","131","9","512","4.5",
"177.784","131","3","512","4.5",
"177.794","131","11","512","4.5",
"177.804","131","9","512","4.5",
"177.813","131","3","512","4.5",
"177.822","131","10","512","4.5",
"177.832","131","11","512","4.5",
"177.842","131","4","512","4.5",
"177.851","131","11","512","4.5",
"177.861","130","8","512","4.5",
"177.87","130","3","512","4.5",
"177.88","130","10","512","4.5",
"177.89","130","9","512","4.5",
"177.899","130","3","512","4.5",
"177.908","130","10","512","4.5",
"177.918","130","10","512","4.5",
"177.928","130","4","512","4.5",
"177.937","130","11","512","4.5",
"177.947","130","8","512","4.5",
"177.956","129","4","513","4",
"177.966","129","10","513","4",
"177.976","129","9","513","4",
"177.985","129","3","513","4",
"177.994","129","10","513","4",
"178.004","129","9","513","4",
"178.014","129","3","513","4",
"178.023","129","10","513","4",
"178.033","129","11","513","4",
"178.042","129","3","512","4.5",
"178.052","128","11","512","4.5",
"178.062","128","8","512","4.5",
"178.071","128","3","512","4.5",
"178.08","128","10","512","4.5",
"178.091","128","9","512","4.5",
"178.1","128","3","512","4.5",
"178.109","128","9","512","4.5",
"178.119","128","13","512","4.5",
"178.128","128","3","512","4.5",
"178.138","128","9","512","4.5",
"178.148","127","14","512","4.5",
"178.157","127","3","512","4.5",
"178.167","127","8","511","5",
"178.177","127","15","511","5",
"178.186","127","3","511","5",
"178.195","127","7","511","5",
"178.205","127","14","511","5",
"178.214","127","4","511","5",
"178.224","127","6","511","5",
"178.234","127","14","511","5",
"178.243","126","4","511","5",
"178.252","126","6","511","5",
"178.263","126","13","511","5",
"178.272","126","5","511","5",
"178.281","126","5","511","5",
"178.291","126","13","511","5",
"178.3","126","5","510","5",
"178.31","126","5","510","5",
"178.32","126","12","510","5",
"178.329","126","6","510","5",
"178.338","125","4","510","5",
"178.349","125","11","510","2.93",
"178.358","125","6","510","2.93",
"178.367","125","3","510","5",
"178.377","125","11","511","5",
"178.386","125","8","511","5",
"178.396","125","2","511","5",
"178.406","125","10","511","5",
"178.415","125","8","511","5",
"178.424","125","2","511","5",
"178.434","124","9","512","4.5",
"178.444","124","12","512","4.5",
"178.453","124","2","512","4.5",
"178.462","124","9","512","4.5",
"178.472","124","13","512","4.5",
"178.482","124","3","512","4.5",
"178.491","124","8","512","4.5",
"178.501","124","14","512","4.5",
"178.51","124","3","513","4",
"178.52","124","7","512","4.5",
"178.53","123","14","512","4.5",
"178.539","123","3","512","4.5",
"178.548","123","7","512","4.5",
