timestamp(ms),Hall analog (raw),Solenoid value (0-255),
"0","510",,
"0.003",,"0",
"0.005","510",,
"0.007",,"0",
"0.009","510",,
"0.012",,"0",
"0.014","510",,
"0.017",,"0",
"0.019","510",,
"0.021",,"0",
"0.023","510",,
"0.026",,"0",
"0.028","510",,
"0.031",,"0",
"0.033","510",,
"0.036",,"0",
"0.038","510",,
"0.04",,"0",
"0.043","510",,
"0.046",,"0",
"0.048","510",,
"0.051",,"0",
"0.053","510",,
"0.055",,"0",
"0.058","510",,
"0.06",,"0",
"0.062","510",,
"0.065",,"0",
"0.067","510",,
"0.07",,"0",
"0.072","510",,
"0.074",,"0",
"0.076","510",,
"0.079",,"0",
"0.081","510",,
"0.084",,"0",
"0.087","510",,
"0.09",,"0",
"0.092","510",,
"0.094",,"0",
"0.096","510",,
"0.099",,"1",
"0.101","510",,
"0.104",,"1",
"0.106","510",,
"0.109",,"1",
"0.111","510",,
"0.114",,"1",
"0.116","510",,
"0.119",,"1",
"0.121","509",,
"0.123",,"1",
"0.126","510",,
"0.129",,"1",
"0.132","510",,
"0.134",,"1",
"0.136","510",,
"0.139",,"1",
"0.141","510",,
"0.144",,"1",
"0.146","510",,
"0.149",,"1",
"0.151","510",,
"0.154",,"1",
"0.156","510",,
"0.159",,"1",
"0.161","510",,
"0.164",,"1",
"0.166","510",,
"0.169",,"1",
"0.172","510",,
"0.174",,"1",
"0.177","510",,
"0.179",,"1",
"0.182","510",,
"0.184",,"1",
"0.186","510",,
"0.189",,"1",
"0.191","510",,
"0.194",,"1",
"0.196","510",,
"0.199",,"2",
"0.201","510",,
"0.204",,"2",
"0.206","510",,
"0.209",,"2",
"0.211","510",,
"0.215",,"2",
"0.217","510",,
"0.22",,"2",
"0.222","510",,
"0.224",,"2",
"0.227","510",,
"0.229",,"2",
"0.231","510",,
"0.234",,"2",
"0.236","510",,
"0.239",,"2",
"0.241","510",,
"0.244",,"2",
"0.246","510",,
"0.249",,"2",
"0.251","510",,
"0.254",,"2",
"0.257","510",,
"0.26",,"2",
"0.262","510",,
"0.265",,"2",
"0.267","510",,
"0.269",,"2",
"0.272","510",,
"0.274",,"2",
"0.277","510",,
"0.279",,"2",
"0.281","510",,
"0.284",,"2",
"0.286","510",,
"0.289",,"2",
"0.291","510",,
"0.294",,"2",
"0.296","510",,
"0.3",,"3",
"0.302","510",,
"0.305",,"3",
"0.307","510",,
"0.31",,"3",
"0.312","510",,
"0.315",,"3",
"0.317","510",,
"0.319",,"3",
"0.322","510",,
"0.324",,"3",
"0.327","510",,
"0.329",,"3",
"0.331","510",,
"0.334",,"3",
"0.336","510",,
"0.339",,"3",
"0.342","510",,
"0.345",,"3",
"0.347","510",,
"0.35",,"3",
"0.352","510",,
"0.355",,"3",
"0.357","510",,
"0.36",,"3",
"0.362","510",,
"0.365",,"3",
"0.367","510",,
"0.369",,"3",
"0.372","510",,
"0.374",,"3",
"0.377","510",,
"0.379",,"3",
"0.381","510",,
"0.385",,"3",
"0.387","510",,
"0.39",,"3",
"0.392","509",,
"0.395",,"3",
"0.397","510",,
"0.4",,"4",
"0.402","510",,
"0.405",,"4",
"0.407","510",,
"0.41",,"4",
"0.412","510",,
"0.415",,"4",
"0.417","510",,
"0.419",,"4",
"0.422","510",,
"0.424",,"4",
"0.427","510",,
"0.43",,"4",
"0.432","510",,
"0.435",,"4",
"0.437","510",,
"0.44",,"4",
"0.442","510",,
"0.445",,"4",
"0.447","510",,
"0.45",,"4",
"0.452","510",,
"0.455",,"4",
"0.457","510",,
"0.46",,"4",
"0.462","510",,
"0.464",,"4",
"0.467","510",,
"0.47",,"4",
"0.473","510",,
"0.475",,"4",
