timestamp(ms),Hall w solenoid correction (1-1024),analog value (1-1024) (filtered),Hall mT (filtered),solenoid correction (units analog),analog value (1-1024) (raw),Distance cm (filtered),Solenoid value (0-255),
"35.019",,,,,,,"214",
"35.023",,,,"556",,,,
"35.027",,,,,"595",,,
"35.032","548",,,,,,,
"35.035",,"551",,,,,,
"35.038",,,"25.48",,,,,
"35.041",,,,,,"1.31",,
"35.044",,,,,,,"214",
"35.048",,,,"556",,,,
"35.051",,,,,"589",,,
"35.055","542",,,,,,,
"35.059",,"548",,,,,,
"35.062",,,"23.52",,,,,
"35.065",,,,,,"1.36",,
"35.068",,,,,,,"214",
"35.073",,,,"556",,,,
"35.076",,,,,"578",,,
"35.08","531",,,,,,,
"35.084",,"543",,,,,,
"35.086",,,"20.26",,,,,
"35.089",,,,,,"1.45",,
"35.092",,,,,,,"214",
"35.096",,,,"556",,,,
"35.099",,,,,"565",,,
"35.103","518",,,,,,,
"35.107",,"544",,,,,,
"35.11",,,"20.91",,,,,
"35.113",,,,,,"1.43",,
"35.117",,,,,,,"214",
"35.121",,,,"556",,,,
"35.124",,,,,"555",,,
"35.128","508",,,,,,,
"35.132",,"541",,,,,,
"35.134",,,"18.95",,,,,
"35.137",,,,,,"1.48",,
"35.14",,,,,,,"214",
"35.144",,,,"556",,,,
"35.148",,,,,"546",,,
"35.152","499",,,,,,,
"35.155",,"534",,,,,,
"35.159",,,"14.37",,,,,
"35.162",,,,,,"1.73",,
"35.165",,,,,,,"214",
"35.169",,,,"555",,,,
"35.172",,,,,"540",,,
"35.176","494",,,,,,,
"35.18",,"529",,,,,,
"35.182",,,"11.11",,,,,
"35.186",,,,,,"1.92",,
"35.189",,,,,,,"213",
"35.192",,,,"555",,,,
"35.196",,,,,"538",,,
"35.201","492",,,,,,,
"35.204",,"525",,,,,,
"35.207",,,"8.49",,,,,
"35.21",,,,,,"2.17",,
"35.213",,,,,,,"213",
"35.217",,,,"555",,,,
"35.22",,,,,"538",,,
"35.224","492",,,,,,,
"35.228",,"522",,,,,,
"35.231",,,"6.53",,,,,
"35.234",,,,,,"2.42",,
"35.237",,,,,,,"213",
"35.24",,,,"555",,,,
"35.245",,,,,"540",,,
"35.249","494",,,,,,,
"35.252",,"492",,,,,,
"35.255",,,"-13.07",,,,,
"35.258",,,,,,"-0.65",,
