Solenoid value (0-255)	Voltage across 12 Ohm resistor measured with multimeter (V)	Current (A)
150	0.611	0.050916667
160	0.832	0.069333333
170	1.144	0.095333333
180	1.457	0.121416667
190	1.77	0.1475
200	2.07	0.1725
210	2.38	0.198333333
220	2.69	0.224166667
230	3	0.25
240	3.31	0.275833333
250	3.61	0.300833333
250	3.59	0.299166667
240	3.27	0.2725
230	2.96	0.246666667
220	2.64	0.22
210	2.34	0.195
200	2.03	0.169166667
190	1.73	0.144166667
180	1.426	0.118833333
170	1.121	0.093416667
160	0.816	0.068
150	0.608	0.050666667
150	0.609	0.05075
160	0.82	0.068333333
170	1.127	0.093916667
180	1.436	0.119666667
190	1.745	0.145416667
200	2.04	0.17
210	2.35	0.195833333
220	2.66	0.221666667
230	2.97	0.2475
240	3.27	0.2725
250	3.57	0.2975
250	3.55	0.295833333
240	3.24	0.27
230	2.92	0.243333333
220	2.62	0.218333333
210	2.31	0.1925
200	2.01	0.1675
190	1.714	0.142833333
180	1.411	0.117583333
170	1.11	0.0925
160	0.809	0.067416667
150	0.605	0.050416667
150	0.606	0.0505
160	0.812	0.067666667
170	1.111	0.092583333
180	1.423	0.118583333
190	1.729	0.144083333
200	2.03	0.169166667
210	2.33	0.194166667
220	2.64	0.22
230	2.94	0.245
240	3.24	0.27
250	3.53	0.294166667
250	3.52	0.293333333
240	3.21	0.2675
230	2.9	0.241666667
220	2.6	0.216666667
210	2.29	0.190833333
200	1.99	0.165833333
190	1.7	0.141666667
180	1.402	0.116833333
170	1.102	0.091833333
160	0.803	0.066916667
150	0.602	0.050166667
0		
20		
40		
60		
80		
100		
120		
140		
160		
180		
200		
220		
240		
240		
220		
200		
180		
160		
140		
120		
100		
80		
60		
40		
20		
0		
